session_id,timestamp,payload,rack,shelf,item,global_x,global_y
S001,2025-12-06 04:43:11,R02_S3_ITM080,R02,S3,ITM080,-0.96,-0.45
S001,2025-12-06 04:43:11,R04_S5_ITM012,R04,S5,ITM012,-0.12,-0.47
S001,2025-12-06 04:43:11,R02_S1_ITM000,R02,S1,ITM000,-0.77,-0.18
S001,2025-12-06 04:43:38,R02_S3_ITM080,R02,S3,ITM080,2.04,2.55
S001,2025-12-06 04:43:38,R04_S5_ITM012,R04,S5,ITM012,2.88,2.53
S001,2025-12-06 04:43:38,R02_S1_ITM000,R02,S1,ITM000,2.23,2.82
S001,2025-12-06 04:44:03,R02_S3_ITM080,R02,S3,ITM080,5.04,5.55
S001,2025-12-06 04:44:03,R04_S5_ITM012,R04,S5,ITM012,5.88,5.53
S001,2025-12-06 04:44:03,R02_S1_ITM000,R02,S1,ITM000,5.23,5.82
S001,2025-12-06 04:44:29,R02_S3_ITM080,R02,S3,ITM080,8.04,8.55
S001,2025-12-06 04:44:29,R04_S5_ITM012,R04,S5,ITM012,8.88,8.53
S001,2025-12-06 04:44:29,R02_S1_ITM000,R02,S1,ITM000,8.23,8.82
S001,2025-12-06 04:44:53,R02_S3_ITM080,R02,S3,ITM080,11.04,11.55
S001,2025-12-06 04:44:53,R04_S5_ITM012,R04,S5,ITM012,11.88,11.53
S001,2025-12-06 04:44:53,R02_S1_ITM000,R02,S1,ITM000,11.23,11.82
S001,2025-12-06 04:45:18,R02_S3_ITM080,R02,S3,ITM080,14.04,14.55
S001,2025-12-06 04:45:18,R04_S5_ITM012,R04,S5,ITM012,14.88,14.53
S001,2025-12-06 04:45:18,R02_S1_ITM000,R02,S1,ITM000,14.23,14.82
S001,2025-12-06 04:45:43,R02_S3_ITM080,R02,S3,ITM080,17.04,17.55
S001,2025-12-06 04:45:43,R04_S5_ITM012,R04,S5,ITM012,17.88,17.53
S001,2025-12-06 04:45:43,R02_S1_ITM000,R02,S1,ITM000,17.23,17.82

